State,County Name,Indicator,Total deaths,COVID-19 Deaths,Non-Hispanic White,Non-Hispanic Black,Non-Hispanic American Indian or Alaska Native,Non-Hispanic Asian,Non-Hispanic Native Hawaiian or Other Pacific Islander,Hispanic,Other
AL,Etowah County,Distribution of population (%),1981,319,0.774,0.155,0.004,0.008,0,0.041,0.017
AL,Houston County,Distribution of all-cause deaths (%),2411,487,0.742,0.242,,,,0.008,
AL,Houston County,Distribution of COVID-19 deaths (%),2411,487,0.69,0.283,,,,0.021,
AL,Houston County,Distribution of population (%),2411,487,0.66,0.271,0.004,0.01,0.001,0.034,0.02
AL,Jefferson County,Distribution of all-cause deaths (%),12337,1693,0.625,0.354,,0.005,,0.011,0.004
AL,Jefferson County,Distribution of COVID-19 deaths (%),12337,1693,0.622,0.348,,0.006,,0.019,
AL,Jefferson County,Distribution of population (%),12337,1693,0.495,0.431,0.002,0.018,0,0.041,0.013
AL,Lauderdale County,Distribution of all-cause deaths (%),1800,229,0.901,0.092,,,,,
AL,Lauderdale County,Distribution of COVID-19 deaths (%),1800,229,0.856,0.127,,,,,
AL,Lauderdale County,Distribution of population (%),1800,229,0.845,0.099,0.004,0.008,0,0.029,0.016
AL,Lee County,Distribution of all-cause deaths (%),1496,243,0.691,0.295,,,,,
AL,Lee County,Distribution of COVID-19 deaths (%),1496,243,0.58,0.391,,,,,
AL,Lee County,Distribution of population (%),1496,243,0.676,0.226,0.002,0.041,0.001,0.037,0.016
AL,Madison County,Distribution of all-cause deaths (%),5061,528,0.783,0.186,,0.01,,0.016,0.003
AL,Madison County,Distribution of COVID-19 deaths (%),5061,528,0.782,0.172,,,,0.036,
AL,Madison County,Distribution of population (%),5061,528,0.644,0.244,0.007,0.026,0.001,0.052,0.026
AL,Marshall County,Distribution of all-cause deaths (%),1467,172,0.954,0.016,,,,0.028,
AL,Marshall County,Distribution of COVID-19 deaths (%),1467,172,0.895,,,,,0.087,
AL,Marshall County,Distribution of population (%),1467,172,0.797,0.026,0.006,0.006,0.001,0.147,0.016
AL,Mobile County,Distribution of all-cause deaths (%),6416,748,0.637,0.339,0.008,0.006,,0.007,0.003
AL,Mobile County,Distribution of COVID-19 deaths (%),6416,748,0.547,0.42,,,,,
AL,Mobile County,Distribution of population (%),6416,748,0.565,0.359,0.009,0.021,0,0.03,0.016
AL,Montgomery County,Distribution of all-cause deaths (%),3911,678,0.47,0.512,,0.006,,0.006,0.004
AL,Montgomery County,Distribution of COVID-19 deaths (%),3911,678,0.407,0.572,,,,,
AL,Montgomery County,Distribution of population (%),3911,678,0.327,0.588,0.002,0.032,0,0.037,0.013
AL,Morgan County,Distribution of all-cause deaths (%),1688,200,0.86,0.115,,,,0.023,
AL,Morgan County,Distribution of COVID-19 deaths (%),1688,200,0.775,0.185,,,,,
AL,Morgan County,Distribution of population (%),1688,200,0.75,0.127,0.008,0.006,0.001,0.087,0.021
AL,Shelby County,Distribution of all-cause deaths (%),1671,148,0.868,0.108,,0.008,,0.014,
AL,Shelby County,Distribution of COVID-19 deaths (%),1671,148,0.804,0.162,,,,,
AL,Shelby County,Distribution of population (%),1671,148,0.772,0.131,0.003,0.022,0,0.058,0.014
AL,Talladega County,Distribution of all-cause deaths (%),1060,104,0.721,0.272,,,,,
AL,Talladega County,Distribution of COVID-19 deaths (%),1060,104,0.663,0.317,,,,,
AL,Talladega County,Distribution of population (%),1060,104,0.623,0.327,0.003,0.007,0,0.024,0.016
AL,Tallapoosa County,Distribution of all-cause deaths (%),659,101,0.768,0.229,,,,,
AL,Tallapoosa County,Distribution of COVID-19 deaths (%),659,101,0.713,0.287,,,,,
AL,Tallapoosa County,Distribution of population (%),659,101,0.687,0.266,0.004,0.005,0,0.025,0.012
AL,Tuscaloosa County,Distribution of all-cause deaths (%),2937,516,0.647,0.336,,,,0.013,
AL,Tuscaloosa County,Distribution of COVID-19 deaths (%),2937,516,0.564,0.413,,,,0.021,
AL,Tuscaloosa County,Distribution of population (%),2937,516,0.608,0.322,0.002,0.016,0,0.04,0.012
AL,Walker County,Distribution of all-cause deaths (%),1221,168,0.94,0.052,,,,,
AL,Walker County,Distribution of COVID-19 deaths (%),1221,168,0.935,,,,,,
AL,Walker County,Distribution of population (%),1221,168,0.888,0.061,0.004,0.005,0,0.026,0.015
AR,Baxter County,Distribution of all-cause deaths (%),1097,127,0.989,,,,,,
AR,Baxter County,Distribution of COVID-19 deaths (%),1097,127,0.992,,,,,,
AR,Baxter County,Distribution of population (%),1097,127,0.942,0.004,0.007,0.005,0.001,0.026,0.015
AR,Benton County,Distribution of all-cause deaths (%),2427,406,0.911,0.008,0.01,0.008,0.012,0.048,
AR,Benton County,Distribution of COVID-19 deaths (%),2427,406,0.786,,,,0.059,0.121,
AR,Benton County,Distribution of population (%),2427,406,0.721,0.018,0.014,0.04,0.007,0.17,0.03
AR,Craighead County,Distribution of all-cause deaths (%),2678,479,0.877,0.11,,,,0.008,
AR,Craighead County,Distribution of COVID-19 deaths (%),2678,479,0.839,0.144,,,,,
AR,Craighead County,Distribution of population (%),2678,479,0.748,0.165,0.003,0.012,0,0.052,0.018
AR,Faulkner County,Distribution of all-cause deaths (%),1352,183,0.902,0.072,,,,0.011,
AR,Faulkner County,Distribution of COVID-19 deaths (%),1352,183,0.896,0.087,,,,,
AR,Faulkner County,Distribution of population (%),1352,183,0.799,0.12,0.005,0.012,0.001,0.042,0.021
AR,Garland County,Distribution of all-cause deaths (%),2239,312,0.901,0.072,,,,0.013,0.01
AR,Garland County,Distribution of COVID-19 deaths (%),2239,312,0.846,0.115,,,,,
AR,Garland County,Distribution of population (%),2239,312,0.816,0.085,0.006,0.008,0.001,0.059,0.024
AR,Independence County,Distribution of all-cause deaths (%),715,152,0.962,0.015,,,,0.015,
AR,Independence County,Distribution of COVID-19 deaths (%),715,152,0.941,,,,,,
AR,Independence County,Distribution of population (%),715,152,0.88,0.023,0.005,0.008,0.001,0.066,0.017
AR,Jefferson County,Distribution of all-cause deaths (%),1098,156,0.515,0.464,,,,0.014,
AR,Jefferson County,Distribution of COVID-19 deaths (%),1098,156,0.487,0.462,,,,,
AR,Jefferson County,Distribution of population (%),1098,156,0.382,0.57,0.003,0.008,0.001,0.022,0.014
AR,Pulaski County,Distribution of all-cause deaths (%),7848,958,0.705,0.268,,0.006,,0.016,0.004
AR,Pulaski County,Distribution of COVID-19 deaths (%),7848,958,0.652,0.296,,0.01,,0.039,
AR,Pulaski County,Distribution of population (%),7848,958,0.516,0.375,0.003,0.022,0,0.062,0.021
AR,Saline County,Distribution of all-cause deaths (%),1141,123,0.93,0.053,,,,,
AR,Saline County,Distribution of COVID-19 deaths (%),1141,123,0.878,0.098,,,,,
AR,Saline County,Distribution of population (%),1141,123,0.834,0.082,0.005,0.013,0,0.051,0.015
AR,Sebastian County,Distribution of all-cause deaths (%),2820,414,0.88,0.041,0.016,0.016,,0.026,0.02
AR,Sebastian County,Distribution of COVID-19 deaths (%),2820,414,0.819,0.027,0.034,,,0.065,0.031
AR,Sebastian County,Distribution of population (%),2820,414,0.686,0.067,0.019,0.046,0.001,0.147,0.034
AR,Washington County,Distribution of all-cause deaths (%),2865,416,0.893,0.021,0.012,0.01,0.022,0.039,
AR,Washington County,Distribution of COVID-19 deaths (%),2865,416,0.788,,0.029,,0.062,0.091,
AR,Washington County,Distribution of population (%),2865,416,0.686,0.033,0.011,0.025,0.027,0.167,0.052
AR,White County,Distribution of all-cause deaths (%),1179,137,0.946,0.044,,,,,
AR,White County,Distribution of COVID-19 deaths (%),1179,137,0.92,0.073,,,,,
AR,White County,Distribution of population (%),1179,137,0.877,0.045,0.006,0.008,0.001,0.044,0.019
AZ,Cochise County,Distribution of all-cause deaths (%),1311,114,0.719,0.023,,0.011,,0.214,0.027
AZ,Cochise County,Distribution of COVID-19 deaths (%),1311,114,0.553,,,,,0.342,
AZ,Cochise County,Distribution of population (%),1311,114,0.546,0.038,0.008,0.02,0.003,0.356,0.028
AZ,Coconino County,Distribution of all-cause deaths (%),1447,227,0.452,0.013,0.418,,,0.095,0.017
AZ,Coconino County,Distribution of COVID-19 deaths (%),1447,227,0.115,,0.78,,,0.093,
AZ,Coconino County,Distribution of population (%),1447,227,0.54,0.013,0.258,0.019,0.001,0.143,0.026
AZ,Maricopa County,Distribution of all-cause deaths (%),51232,8325,0.702,0.049,0.035,0.018,0.002,0.168,0.025
AZ,Maricopa County,Distribution of COVID-19 deaths (%),51232,8325,0.52,0.04,0.097,0.026,0.003,0.292,0.022
AZ,Maricopa County,Distribution of population (%),51232,8325,0.544,0.056,0.017,0.043,0.002,0.313,0.024
AZ,Mohave County,Distribution of all-cause deaths (%),4220,506,0.873,0.009,0.013,0.008,,0.069,0.027
AZ,Mohave County,Distribution of COVID-19 deaths (%),4220,506,0.789,,0.032,,,0.123,0.028
AZ,Mohave County,Distribution of population (%),4220,506,0.766,0.011,0.021,0.011,0.002,0.169,0.02
AZ,Navajo County,Distribution of all-cause deaths (%),1273,156,0.559,,0.343,,,0.068,0.022
AZ,Navajo County,Distribution of COVID-19 deaths (%),1273,156,0.327,,0.558,,,0.09,
AZ,Navajo County,Distribution of population (%),1273,156,0.416,0.008,0.436,0.006,0.001,0.115,0.018
AZ,Pima County,Distribution of all-cause deaths (%),15154,2239,0.681,0.028,0.026,0.012,0.001,0.235,0.016
AZ,Pima County,Distribution of COVID-19 deaths (%),15154,2239,0.5,0.024,0.047,0.014,,0.401,0.012
AZ,Pima County,Distribution of population (%),15154,2239,0.511,0.034,0.024,0.03,0.002,0.377,0.021
AZ,Pinal County,Distribution of all-cause deaths (%),3196,273,0.724,0.038,0.043,0.006,,0.169,0.018
AZ,Pinal County,Distribution of COVID-19 deaths (%),3196,273,0.542,,0.07,,,0.33,
AZ,Pinal County,Distribution of population (%),3196,273,0.559,0.047,0.044,0.016,0.004,0.306,0.024
AZ,Yavapai County,Distribution of all-cause deaths (%),3854,357,0.899,0.003,0.017,0.005,,0.058,0.017
AZ,Yavapai County,Distribution of COVID-19 deaths (%),3854,357,0.81,,0.062,,,0.092,
AZ,Yavapai County,Distribution of population (%),3854,357,0.801,0.007,0.014,0.011,0.001,0.147,0.019
AZ,Yuma County,Distribution of all-cause deaths (%),2648,630,0.526,0.013,0.022,,,0.418,0.019
AZ,Yuma County,Distribution of COVID-19 deaths (%),2648,630,0.275,,0.027,,,0.678,
AZ,Yuma County,Distribution of population (%),2648,630,0.301,0.019,0.009,0.012,0.001,0.645,0.013
CA,Alameda County,Distribution of all-cause deaths (%),12608,1064,0.445,0.19,0.003,0.201,0.009,0.136,0.016
CA,Alameda County,Distribution of COVID-19 deaths (%),12608,1064,0.3,0.173,,0.231,0.015,0.264,0.012
CA,Alameda County,Distribution of population (%),12608,1064,0.304,0.101,0.002,0.314,0.008,0.221,0.049
CA,Butte County,Distribution of all-cause deaths (%),2701,211,0.86,0.02,0.016,0.021,,0.067,0.013
CA,Butte County,Distribution of COVID-19 deaths (%),2701,211,0.754,,,0.057,,0.128,
CA,Butte County,Distribution of population (%),2701,211,0.708,0.016,0.015,0.048,0.002,0.172,0.039
CA,Contra Costa County,Distribution of all-cause deaths (%),9442,616,0.625,0.117,0.003,0.107,0.006,0.125,0.018
CA,Contra Costa County,Distribution of COVID-19 deaths (%),9442,616,0.506,0.123,,0.128,,0.221,
CA,Contra Costa County,Distribution of population (%),9442,616,0.425,0.087,0.003,0.176,0.005,0.259,0.046
CA,El Dorado County,Distribution of all-cause deaths (%),1662,103,0.898,0.01,,0.029,,0.048,0.008
CA,El Dorado County,Distribution of COVID-19 deaths (%),1662,103,0.854,,,,,,
CA,El Dorado County,Distribution of population (%),1662,103,0.771,0.009,0.008,0.046,0.002,0.131,0.033
CA,Fresno County,Distribution of all-cause deaths (%),10169,1351,0.504,0.06,0.008,0.085,0.001,0.333,0.008
CA,Fresno County,Distribution of COVID-19 deaths (%),10169,1351,0.357,0.043,0.01,0.1,,0.486,
CA,Fresno County,Distribution of population (%),10169,1351,0.286,0.046,0.006,0.103,0.001,0.537,0.02
CA,Imperial County,Distribution of all-cause deaths (%),1600,468,0.186,0.015,0.009,0.012,,0.776,
CA,Imperial County,Distribution of COVID-19 deaths (%),1600,468,0.064,,,,,0.919,
CA,Imperial County,Distribution of population (%),1600,468,0.1,0.024,0.007,0.012,0.001,0.85,0.006
CA,Kern County,Distribution of all-cause deaths (%),8094,1027,0.568,0.065,0.007,0.032,,0.316,0.01
CA,Kern County,Distribution of COVID-19 deaths (%),8094,1027,0.294,0.048,0.01,0.041,,0.599,
CA,Kern County,Distribution of population (%),8094,1027,0.328,0.052,0.006,0.047,0.001,0.545,0.02
CA,Kings County,Distribution of all-cause deaths (%),1232,269,0.464,0.049,0.013,0.031,,0.433,0.01
CA,Kings County,Distribution of COVID-19 deaths (%),1232,269,0.212,,,,,0.717,
CA,Kings County,Distribution of population (%),1232,269,0.313,0.063,0.009,0.038,0.002,0.551,0.024
CA,Los Angeles County,Distribution of all-cause deaths (%),91672,15956,0.39,0.123,0.003,0.135,0.003,0.337,0.009
CA,Los Angeles County,Distribution of COVID-19 deaths (%),91672,15956,0.237,0.083,0.002,0.145,0.004,0.523,0.005
CA,Los Angeles County,Distribution of population (%),91672,15956,0.26,0.079,0.002,0.148,0.002,0.485,0.024
CA,Madera County,Distribution of all-cause deaths (%),1174,167,0.504,0.036,0.014,0.022,,0.41,0.014
CA,Madera County,Distribution of COVID-19 deaths (%),1174,167,0.192,,,,,0.749,
CA,Madera County,Distribution of population (%),1174,167,0.331,0.032,0.011,0.021,0.001,0.587,0.017
CA,Marin County,Distribution of all-cause deaths (%),2358,169,0.835,0.029,,0.043,,0.071,0.019
CA,Marin County,Distribution of COVID-19 deaths (%),2358,169,0.704,,,0.071,,0.148,
CA,Marin County,Distribution of population (%),2358,169,0.71,0.025,0.002,0.064,0.002,0.163,0.034
CA,Merced County,Distribution of all-cause deaths (%),1878,231,0.514,0.061,0.007,0.059,,0.35,
CA,Merced County,Distribution of COVID-19 deaths (%),1878,231,0.333,,,0.061,,0.545,
CA,Merced County,Distribution of population (%),1878,231,0.264,0.029,0.004,0.071,0.002,0.609,0.02
CA,Monterey County,Distribution of all-cause deaths (%),3399,452,0.558,0.034,0.003,0.075,0.006,0.315,0.01
CA,Monterey County,Distribution of COVID-19 deaths (%),3399,452,0.285,0.035,,0.086,,0.575,
CA,Monterey County,Distribution of population (%),3399,452,0.292,0.025,0.003,0.057,0.004,0.591,0.027
CA,Orange County,Distribution of all-cause deaths (%),28083,4433,0.582,0.018,0.002,0.172,0.003,0.215,0.007
CA,Orange County,Distribution of COVID-19 deaths (%),28083,4433,0.331,0.015,,0.214,0.007,0.426,0.005
CA,Orange County,Distribution of population (%),28083,4433,0.397,0.017,0.002,0.212,0.003,0.339,0.03
CA,Placer County,Distribution of all-cause deaths (%),4693,357,0.838,0.024,0.007,0.05,,0.07,0.01
CA,Placer County,Distribution of COVID-19 deaths (%),4693,357,0.737,0.05,,0.056,,0.137,
CA,Placer County,Distribution of population (%),4693,357,0.714,0.017,0.006,0.079,0.002,0.144,0.039
CA,Riverside County,Distribution of all-cause deaths (%),23464,3841,0.583,0.071,0.005,0.043,0.003,0.282,0.013
CA,Riverside County,Distribution of COVID-19 deaths (%),23464,3841,0.37,0.054,0.005,0.051,0.005,0.505,0.01
CA,Riverside County,Distribution of population (%),23464,3841,0.34,0.062,0.005,0.065,0.003,0.499,0.026
CA,Sacramento County,Distribution of all-cause deaths (%),15106,1290,0.623,0.11,0.005,0.115,0.009,0.121,0.017
CA,Sacramento County,Distribution of COVID-19 deaths (%),15106,1290,0.51,0.099,,0.161,0.026,0.184,0.015
CA,Sacramento County,Distribution of population (%),15106,1290,0.433,0.097,0.005,0.161,0.011,0.234,0.06
CA,San Bernardino County,Distribution of all-cause deaths (%),21434,3939,0.459,0.11,0.005,0.052,0.004,0.357,0.012
CA,San Bernardino County,Distribution of COVID-19 deaths (%),21434,3939,0.285,0.084,0.006,0.059,0.005,0.552,0.009
CA,San Bernardino County,Distribution of population (%),21434,3939,0.272,0.081,0.004,0.073,0.003,0.543,0.024
CA,San Diego County,Distribution of all-cause deaths (%),28771,3208,0.614,0.051,0.004,0.086,0.006,0.222,0.016
CA,San Diego County,Distribution of COVID-19 deaths (%),28771,3208,0.365,0.037,0.004,0.101,0.008,0.471,0.013
CA,San Diego County,Distribution of population (%),28771,3208,0.448,0.047,0.004,0.119,0.004,0.34,0.038
CA,San Francisco County,Distribution of all-cause deaths (%),7341,382,0.395,0.104,0.003,0.308,0.005,0.126,0.058
CA,San Francisco County,Distribution of COVID-19 deaths (%),7341,382,0.283,0.079,,0.361,,0.251,
CA,San Francisco County,Distribution of population (%),7341,382,0.4,0.05,0.002,0.353,0.004,0.152,0.039
CA,San Joaquin County,Distribution of all-cause deaths (%),7426,1108,0.524,0.096,0.006,0.116,0.007,0.233,0.018
CA,San Joaquin County,Distribution of COVID-19 deaths (%),7426,1108,0.387,0.086,,0.152,,0.352,0.014
CA,San Joaquin County,Distribution of population (%),7426,1108,0.303,0.071,0.004,0.158,0.006,0.418,0.041
CA,San Luis Obispo County,Distribution of all-cause deaths (%),2691,178,0.873,0.007,,0.018,,0.087,0.01
CA,San Luis Obispo County,Distribution of COVID-19 deaths (%),2691,178,0.798,,,,,0.135,
CA,San Luis Obispo County,Distribution of population (%),2691,178,0.684,0.017,0.005,0.036,0.001,0.229,0.027
CA,San Mateo County,Distribution of all-cause deaths (%),5598,479,0.568,0.043,,0.229,0.014,0.135,0.01
CA,San Mateo County,Distribution of COVID-19 deaths (%),5598,479,0.392,0.042,,0.296,,0.238,
CA,San Mateo County,Distribution of population (%),5598,479,0.382,0.022,0.001,0.294,0.013,0.237,0.05
CA,Santa Barbara County,Distribution of all-cause deaths (%),4077,413,0.695,0.023,0.005,0.031,,0.235,0.01
CA,Santa Barbara County,Distribution of COVID-19 deaths (%),4077,413,0.431,,,0.053,,0.482,
CA,Santa Barbara County,Distribution of population (%),4077,413,0.437,0.018,0.004,0.054,0.002,0.46,0.025
CA,Santa Clara County,Distribution of all-cause deaths (%),13465,1356,0.51,0.034,0.003,0.242,0.007,0.196,0.009
CA,Santa Clara County,Distribution of COVID-19 deaths (%),13465,1356,0.353,0.033,,0.267,0.008,0.329,
CA,Santa Clara County,Distribution of population (%),13465,1356,0.305,0.024,0.002,0.382,0.003,0.249,0.035
CA,Santa Cruz County,Distribution of all-cause deaths (%),2068,212,0.746,0.011,0.005,0.038,,0.188,0.01
CA,Santa Cruz County,Distribution of COVID-19 deaths (%),2068,212,0.561,,,0.057,,0.363,
CA,Santa Cruz County,Distribution of population (%),2068,212,0.567,0.01,0.004,0.047,0.001,0.34,0.031
CA,Shasta County,Distribution of all-cause deaths (%),2926,183,0.89,0.006,0.021,0.017,,0.043,0.022
CA,Shasta County,Distribution of COVID-19 deaths (%),2926,183,0.847,,,,,0.082,
CA,Shasta County,Distribution of population (%),2926,183,0.79,0.011,0.023,0.03,0.002,0.105,0.039
CA,Solano County,Distribution of all-cause deaths (%),4109,317,0.55,0.165,0.004,0.126,0.01,0.122,0.022
CA,Solano County,Distribution of COVID-19 deaths (%),4109,317,0.416,0.164,,0.183,,0.196,
CA,Solano County,Distribution of population (%),4109,317,0.369,0.136,0.004,0.152,0.008,0.27,0.061
CA,Sonoma County,Distribution of all-cause deaths (%),4919,322,0.825,0.015,0.009,0.026,0.004,0.102,0.019
CA,Sonoma County,Distribution of COVID-19 deaths (%),4919,322,0.627,,,0.043,,0.267,
CA,Sonoma County,Distribution of population (%),4919,322,0.627,0.016,0.007,0.043,0.003,0.272,0.032
CA,Stanislaus County,Distribution of all-cause deaths (%),6855,1113,0.648,0.037,0.006,0.047,0.006,0.246,0.011
CA,Stanislaus County,Distribution of COVID-19 deaths (%),6855,1113,0.475,0.028,,0.058,,0.42,
CA,Stanislaus County,Distribution of population (%),6855,1113,0.401,0.027,0.005,0.054,0.007,0.473,0.033
CA,Tulare County,Distribution of all-cause deaths (%),4114,692,0.555,0.018,0.011,0.031,,0.377,0.005
CA,Tulare County,Distribution of COVID-19 deaths (%),4114,692,0.341,,,0.036,,0.595,
CA,Tulare County,Distribution of population (%),4114,692,0.276,0.012,0.007,0.033,0.001,0.655,0.015
CA,Ventura County,Distribution of all-cause deaths (%),7294,770,0.673,0.019,0.002,0.051,0.002,0.244,0.009
CA,Ventura County,Distribution of COVID-19 deaths (%),7294,770,0.439,0.013,,0.078,,0.458,
CA,Ventura County,Distribution of population (%),7294,770,0.446,0.018,0.003,0.074,0.002,0.432,0.026
CA,Yolo County,Distribution of all-cause deaths (%),1429,146,0.696,0.024,,0.06,,0.204,0.009
CA,Yolo County,Distribution of COVID-19 deaths (%),1429,146,0.479,,,0.089,,0.425,
CA,Yolo County,Distribution of population (%),1429,146,0.458,0.024,0.005,0.145,0.004,0.318,0.046
CO,Adams County,Distribution of all-cause deaths (%),4682,674,0.636,0.061,0.009,0.031,0.002,0.248,0.012
CO,Adams County,Distribution of COVID-19 deaths (%),4682,674,0.45,0.064,,0.042,,0.423,
CO,Adams County,Distribution of population (%),4682,674,0.49,0.033,0.006,0.042,0.001,0.408,0.021
CO,Arapahoe County,Distribution of all-cause deaths (%),5464,714,0.773,0.08,0.006,0.031,0.002,0.1,0.007
CO,Arapahoe County,Distribution of COVID-19 deaths (%),5464,714,0.676,0.076,,0.06,,0.161,
CO,Arapahoe County,Distribution of population (%),5464,714,0.592,0.106,0.004,0.063,0.002,0.197,0.034
CO,Boulder County,Distribution of all-cause deaths (%),2858,289,0.876,0.012,,0.017,,0.087,0.006
CO,Boulder County,Distribution of COVID-19 deaths (%),2858,289,0.709,,,0.052,,0.211,
CO,Boulder County,Distribution of population (%),2858,289,0.774,0.01,0.004,0.049,0,0.14,0.024
CO,Denver County,Distribution of all-cause deaths (%),6308,647,0.605,0.132,0.01,0.024,,0.213,0.014
CO,Denver County,Distribution of COVID-19 deaths (%),6308,647,0.468,0.128,0.019,0.048,,0.326,
CO,Denver County,Distribution of population (%),6308,647,0.548,0.089,0.005,0.039,0.001,0.292,0.025
CO,Douglas County,Distribution of all-cause deaths (%),2059,232,0.89,0.017,,0.026,,0.057,0.007
CO,Douglas County,Distribution of COVID-19 deaths (%),2059,232,0.832,,,,,0.121,
CO,Douglas County,Distribution of population (%),2059,232,0.813,0.015,0.003,0.053,0.001,0.091,0.025
CO,El Paso County,Distribution of all-cause deaths (%),6700,748,0.783,0.059,0.007,0.017,0.002,0.113,0.018
CO,El Paso County,Distribution of COVID-19 deaths (%),6700,748,0.714,0.056,,0.025,,0.182,0.013
CO,El Paso County,Distribution of population (%),6700,748,0.684,0.06,0.006,0.029,0.003,0.177,0.041
CO,Jefferson County,Distribution of all-cause deaths (%),6074,697,0.822,0.014,0.005,0.019,,0.134,0.006
CO,Jefferson County,Distribution of COVID-19 deaths (%),6074,697,0.727,0.017,,0.033,,0.208,
CO,Jefferson County,Distribution of population (%),6074,697,0.777,0.012,0.005,0.03,0.001,0.156,0.02
CO,Larimer County,Distribution of all-cause deaths (%),3262,249,0.901,0.008,0.004,0.01,,0.073,0.003
CO,Larimer County,Distribution of COVID-19 deaths (%),3262,249,0.723,,,,,0.233,
CO,Larimer County,Distribution of population (%),3262,249,0.821,0.01,0.004,0.023,0.001,0.119,0.022
CO,Mesa County,Distribution of all-cause deaths (%),2242,204,0.9,,0.015,,,0.079,
CO,Mesa County,Distribution of COVID-19 deaths (%),2242,204,0.789,,0.049,,,0.157,
CO,Mesa County,Distribution of population (%),2242,204,0.81,0.007,0.007,0.009,0.001,0.148,0.018
CO,Pueblo County,Distribution of all-cause deaths (%),2678,346,0.606,0.021,0.006,0.004,,0.356,0.006
CO,Pueblo County,Distribution of COVID-19 deaths (%),2678,346,0.535,,,,,0.413,
CO,Pueblo County,Distribution of population (%),2678,346,0.517,0.019,0.007,0.009,0.001,0.431,0.017
CO,Weld County,Distribution of all-cause deaths (%),2070,267,0.782,0.007,,0.01,,0.191,
CO,Weld County,Distribution of COVID-19 deaths (%),2070,267,0.61,,,,,0.345,
CO,Weld County,Distribution of population (%),2070,267,0.648,0.012,0.006,0.017,0.001,0.3,0.017
CT,Fairfield County,Distribution of all-cause deaths (%),8937,1881,0.777,0.106,,0.02,,0.092,0.006
CT,Fairfield County,Distribution of COVID-19 deaths (%),8937,1881,0.718,0.13,,0.023,,0.122,0.007
CT,Fairfield County,Distribution of population (%),8937,1881,0.609,0.111,0.001,0.057,0,0.205,0.015
CT,Hartford County,Distribution of all-cause deaths (%),10872,2025,0.783,0.112,,0.014,,0.087,0.004
CT,Hartford County,Distribution of COVID-19 deaths (%),10872,2025,0.72,0.156,,0.011,,0.107,0.005
CT,Hartford County,Distribution of population (%),10872,2025,0.599,0.134,0.002,0.059,0,0.188,0.018
CT,Litchfield County,Distribution of all-cause deaths (%),1725,189,0.958,0.013,,0.006,,0.019,
CT,Litchfield County,Distribution of COVID-19 deaths (%),1725,189,0.926,,,,,,
CT,Litchfield County,Distribution of population (%),1725,189,0.874,0.018,0.002,0.021,0,0.071,0.014
CT,Middlesex County,Distribution of all-cause deaths (%),1695,282,0.919,0.043,,0.006,,0.022,0.008
CT,Middlesex County,Distribution of COVID-19 deaths (%),1695,282,0.883,0.06,,,,0.035,
CT,Middlesex County,Distribution of population (%),1695,282,0.833,0.049,0.002,0.032,0,0.066,0.018
CT,New Haven County,Distribution of all-cause deaths (%),10610,1751,0.79,0.117,,0.011,,0.077,0.003
CT,New Haven County,Distribution of COVID-19 deaths (%),10610,1751,0.732,0.155,,0.011,,0.094,0.007
